"year","mean_aflatoxin","median_aflatoxin"
2018,2.39871428571429,0
2019,3.44222222222222,0
2020,1.83041666666667,0
2021,2.02239436619718,0
2022,13.2787323943662,0
2023,0.363333333333333,0
2016,9.23777777777778,0
2017,10.9620833333333,0
2018,16.5442857142857,0
2019,3.37805555555556,0.01
2020,1.05458333333333,0
2021,4.81,0.01
2022,3.42845070422535,0
2023,22.66,0.075
2016,1.77416666666667,0
2017,2.01722222222222,0
2018,6.19057142857143,0
2019,2.21861111111111,0.005
2020,6.91291666666667,0.01
2021,4.62140845070423,0
2022,2.47901408450704,0.02
2023,4.82666666666667,0
2016,1.08111111111111,0
2017,7.69069444444444,0
2018,4.10114285714286,0
2019,4.14666666666667,0
2020,2.01861111111111,0
2021,5.18323943661972,0
2022,4.58225352112676,0
2023,9.36416666666667,0.03
2016,1.46,0
2017,3.04291666666667,0
2018,2.49085714285714,0
2019,0.62875,0
2020,3.69375,0
2021,1.54915492957746,0
2022,1.57605633802817,0
2023,1.1925,0
2016,1.7325,0
2017,2.12361111111111,0
2018,5.505,0
2019,1.58972222222222,0
2020,2.36319444444444,0
2021,2.28352112676056,0
2022,3.28929577464789,0
2023,1.46833333333333,0.035
2016,1.39694444444444,0
2017,5.69305555555556,0
2018,14.0115714285714,0
2019,5.17361111111111,0.03
2020,2.51375,0
2021,1.85732394366197,0
2022,3.68816901408451,0
2023,6.13583333333333,0
2016,2.61138888888889,0
2017,3.59263888888889,0
2018,3.07471428571429,0
2019,5.11361111111111,0
2020,6.21194444444444,0.01
2021,6.7612676056338,0
2022,2.12591549295775,0
2023,1.5325,0
2016,1.89027777777778,0
2017,7.11722222222222,0.005
2018,9.536,0
2019,3.92041666666667,0
2020,0.591944444444444,0
2021,1.67619718309859,0
2022,2.88281690140845,0
2023,1.64444444444444,0
2016,1.31,0
2017,4.60527777777778,0
2018,2.45628571428571,0.005
2019,5.37611111111111,0
2020,24.51,0
2021,1.77450704225352,0
2022,5.50112676056338,0
2023,6.03083333333333,0
2016,1.35388888888889,0.01
2017,8.52708333333333,0
2018,0.770714285714286,0
2019,1.69027777777778,0
2020,2.43194444444444,0
2021,5.20084507042254,0
2022,1.95647887323944,0
2023,13.6125,0.01
